               epoch,          train_loss,            val_loss,         auroc_macro,          aupr_macro,      auroc_weighted,       aupr_weighted
                   1,             0.29365,             0.14052,             0.97389,             0.84842,             0.97026,              0.8701
                   2,             0.11112,            0.083546,              0.9806,             0.88065,             0.97956,             0.90127
                   3,            0.084799,            0.070907,             0.98284,             0.89308,             0.98231,             0.91242
                   4,            0.071985,             0.06317,             0.98424,             0.90004,             0.98381,             0.91831
                   5,            0.064713,            0.059385,             0.98529,             0.90387,             0.98516,             0.92179
                   6,            0.060442,            0.056656,             0.98568,             0.90669,             0.98542,             0.92414
                   7,            0.055454,            0.056343,             0.98584,             0.90714,             0.98547,             0.92422
                   8,            0.053314,            0.054432,             0.98577,              0.9093,             0.98561,             0.92585
                   9,            0.050067,              0.0539,             0.98528,             0.90941,             0.98518,             0.92575
                  10,            0.047545,            0.054656,             0.98508,             0.90735,             0.98473,             0.92428
                  11,            0.045384,            0.053057,             0.98591,             0.90914,             0.98573,              0.9261
                  12,            0.043729,            0.052848,             0.98618,             0.90929,             0.98592,             0.92637
                  13,            0.040972,            0.053186,             0.98502,             0.91028,              0.9848,             0.92616
                  14,            0.039139,            0.053909,             0.98499,             0.90956,             0.98453,             0.92514
                  15,              0.0359,            0.052443,             0.98558,             0.91051,             0.98541,             0.92659
                  16,            0.034615,            0.052027,             0.98578,             0.91135,             0.98563,              0.9275
                  17,            0.034303,            0.051844,             0.98585,             0.91165,             0.98576,             0.92787
                  18,            0.033978,             0.05197,             0.98583,             0.91185,             0.98572,             0.92802
                  19,            0.034045,            0.051932,             0.98575,             0.91142,             0.98567,              0.9277
                  20,            0.032723,            0.051927,             0.98573,             0.91159,             0.98564,             0.92782
                  21,             0.03351,            0.051977,             0.98571,             0.91111,             0.98562,             0.92745
                  22,             0.03362,            0.051981,             0.98563,             0.91146,             0.98557,              0.9277
                  23,            0.032987,             0.05202,             0.98557,             0.91095,             0.98555,              0.9274
                  24,            0.032191,            0.051978,             0.98565,             0.91108,             0.98554,             0.92739
                  25,            0.033089,            0.051945,             0.98571,             0.91124,             0.98563,             0.92759
                  26,            0.034102,            0.051906,             0.98572,             0.91143,             0.98563,             0.92771
                  27,            0.033171,            0.051857,             0.98569,              0.9112,             0.98562,             0.92758
                  28,            0.033845,            0.052057,             0.98564,             0.91081,             0.98563,             0.92728
                  29,            0.032974,            0.051905,             0.98563,             0.91099,             0.98558,             0.92737
                  30,            0.033423,            0.051876,             0.98567,             0.91148,             0.98563,             0.92777
