               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.072714,            0.039406,            0.053077,             0.43068,             0.29647,             0.27862,             0.11237,            0.062049,            0.055159,            0.030565,           0.0033315,           0.0033315,            0.070016
                   1,            0.062973,            0.037562,            0.031423,             0.48292,             0.30393,             0.31272,             0.14213,            0.059023,            0.056007,            0.029596,           0.0064449,           0.0064449,            0.039796
                   2,            0.062497,            0.038755,            0.033173,             0.45355,             0.30151,             0.29085,              0.1346,            0.059022,            0.057389,            0.031959,           0.0093383,           0.0093383,           0.0093565
                   3,            0.061368,            0.039008,            0.033119,             0.51149,             0.36078,              0.3678,             0.18903,            0.054659,            0.055427,             0.02597,             0.00901,             0.00901,             0.00901
                   4,             0.05951,            0.038455,            0.030933,             0.56367,             0.38498,             0.40659,             0.21939,            0.052587,            0.054503,            0.023759,             0.00901,             0.00901,             0.00901
                   5,            0.058243,            0.038282,            0.029597,             0.57328,             0.40455,             0.42774,             0.23656,            0.051257,            0.053789,            0.022362,             0.00868,             0.00868,             0.00868
                   6,            0.057396,            0.038051,            0.028659,             0.58456,             0.41616,             0.44229,             0.24904,            0.050388,            0.053361,             0.02152,             0.00835,             0.00835,             0.00835
                   7,            0.056761,            0.037891,            0.028045,             0.56667,             0.43392,              0.4521,             0.25735,            0.049771,            0.053066,            0.021059,             0.00802,             0.00802,             0.00802
                   8,            0.056245,             0.03777,            0.027587,             0.59425,             0.42813,             0.45952,             0.26366,            0.049348,            0.052827,            0.020655,             0.00769,             0.00769,             0.00769
                   9,            0.055881,            0.037634,            0.027064,             0.59361,             0.43488,             0.46543,             0.26827,            0.049081,            0.052676,             0.02043,             0.00736,             0.00736,             0.00736
                  10,            0.055406,            0.037503,            0.026451,              0.5907,             0.44085,             0.46914,             0.27112,             0.04887,             0.05255,            0.020237,             0.00703,             0.00703,             0.00703
                  11,            0.055093,            0.037464,            0.026215,             0.61042,             0.43366,              0.4715,             0.27334,             0.04869,            0.052461,            0.020082,              0.0067,              0.0067,              0.0067
                  12,            0.054853,             0.03723,            0.025923,             0.60717,             0.43981,             0.47476,             0.27604,            0.048534,            0.052377,            0.019948,             0.00637,             0.00637,             0.00637
                  13,            0.054465,            0.037214,            0.025464,             0.60263,             0.44566,             0.47713,             0.27882,            0.048394,            0.052303,            0.019804,             0.00604,             0.00604,             0.00604
                  14,            0.054173,            0.037011,              0.0251,             0.59893,              0.4505,             0.47938,             0.28156,            0.048253,             0.05225,            0.019678,             0.00571,             0.00571,             0.00571
                  15,            0.053839,            0.036999,            0.024841,             0.62283,             0.44121,             0.48192,             0.28421,            0.048117,            0.052189,            0.019556,             0.00538,             0.00538,             0.00538
                  16,             0.05351,            0.036812,             0.02436,              0.6195,             0.44536,             0.48419,             0.28639,            0.047974,            0.052145,            0.019432,             0.00505,             0.00505,             0.00505
                  17,            0.053222,            0.036749,            0.024045,             0.61425,             0.45175,             0.48657,             0.28856,             0.04783,              0.0521,            0.019308,             0.00472,             0.00472,             0.00472
                  18,            0.052868,            0.036557,            0.023647,             0.60387,             0.45865,             0.48928,             0.29007,            0.047689,            0.052055,            0.019191,             0.00439,             0.00439,             0.00439
                  19,            0.052519,            0.036491,            0.023252,             0.63408,             0.44706,             0.49142,             0.29243,            0.047546,            0.052002,            0.019069,             0.00406,             0.00406,             0.00406
                  20,            0.052163,            0.036299,            0.022741,             0.59524,             0.47014,             0.49421,             0.29491,            0.047403,            0.051944,            0.018954,             0.00373,             0.00373,             0.00373
                  21,            0.051864,            0.036161,            0.022359,             0.61501,             0.46262,             0.49649,             0.29721,            0.047258,            0.051876,            0.018824,              0.0034,              0.0034,              0.0034
                  22,             0.05141,            0.035978,            0.021883,             0.62678,             0.45906,             0.49903,             0.29921,            0.047104,             0.05181,              0.0187,             0.00307,             0.00307,             0.00307
                  23,            0.051026,             0.03588,             0.02143,             0.62931,             0.46022,             0.50296,             0.30229,            0.046949,            0.051754,            0.018565,             0.00274,             0.00274,             0.00274
                  24,            0.050578,            0.035708,            0.020873,             0.61772,             0.47078,             0.50558,             0.30471,            0.046795,            0.051688,            0.018437,             0.00241,             0.00241,             0.00241
                  25,            0.050148,            0.035509,            0.020282,             0.63173,             0.46639,             0.50794,              0.3075,            0.046651,            0.051607,            0.018303,             0.00208,             0.00208,             0.00208
                  26,             0.04968,            0.035234,            0.019817,             0.63057,             0.46945,             0.50994,             0.30927,            0.046514,            0.051527,            0.018183,             0.00175,             0.00175,             0.00175
                  27,            0.049242,            0.034989,            0.019254,             0.62983,             0.47126,             0.51242,             0.31147,            0.046379,            0.051451,            0.018056,             0.00142,             0.00142,             0.00142
                  28,            0.048705,            0.034769,            0.018582,             0.62112,             0.47816,             0.51501,             0.31396,            0.046247,            0.051382,            0.017936,             0.00109,             0.00109,             0.00109
                  29,            0.048139,            0.034477,            0.017927,             0.60435,              0.4909,              0.5171,             0.31591,             0.04612,            0.051313,            0.017814,             0.00076,             0.00076,             0.00076
