               epoch,      train/obj_loss,      train/cls_loss, metrics/AUROC_macro,   metrics/mAP_macro,metrics/AUROC_weighted,metrics/mAP_weighted,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1
                   0,             0.18908,            0.090652,             0.95497,             0.69517,              0.9557,              0.7451,              0.2309,            0.060769,               1e-05,              0.0001
                   1,             0.16301,            0.058857,             0.96517,             0.73568,             0.96525,             0.77963,             0.22042,            0.050902,               1e-05,              0.0001
                   2,             0.15676,            0.052207,             0.97043,             0.75737,             0.96927,             0.79727,              0.2161,            0.047602,               1e-05,              0.0001
                   3,             0.15342,            0.048956,             0.97216,             0.76272,             0.97086,             0.80095,             0.21367,            0.046078,               1e-05,              0.0001
                   4,             0.15116,            0.047085,             0.97269,             0.76348,             0.97098,             0.80236,             0.21096,            0.044863,               1e-05,              0.0001
                   5,             0.14891,            0.045628,             0.97453,             0.76848,             0.97206,             0.80638,             0.20995,            0.044228,               1e-05,              0.0001
                   6,             0.14688,            0.044483,             0.97592,             0.77693,             0.97399,             0.81443,             0.20733,            0.043047,               1e-05,              0.0001
                   7,             0.14567,             0.04369,             0.97587,             0.77794,             0.97356,             0.81454,             0.20676,             0.04309,               1e-05,              0.0001
                   8,             0.14458,            0.042895,             0.97692,             0.77951,             0.97464,             0.81648,              0.2056,            0.042259,               1e-05,              0.0001
                   9,             0.14367,            0.042245,             0.97673,             0.78038,             0.97429,             0.81756,             0.20492,            0.042213,               1e-05,              0.0001
                  10,             0.14272,            0.041505,             0.97703,             0.78169,             0.97474,              0.8188,             0.20477,            0.041632,               1e-05,              0.0001
                  11,             0.14216,            0.041036,             0.97749,             0.78154,             0.97495,             0.81901,             0.20397,            0.041593,               1e-05,              0.0001
                  12,             0.14131,            0.040575,             0.97811,             0.78416,             0.97506,             0.82171,             0.20391,            0.041345,               1e-05,              0.0001
                  13,             0.14076,            0.040294,             0.97873,             0.78749,             0.97616,             0.82325,             0.20261,            0.041244,               1e-05,              0.0001
                  14,              0.1398,             0.03977,             0.97837,             0.78783,             0.97601,             0.82527,             0.20299,            0.040958,               1e-05,              0.0001
                  15,             0.13656,            0.038099,             0.97916,              0.7905,              0.9765,             0.82732,              0.2008,            0.039875,               1e-06,               1e-05
                  16,             0.13685,             0.03774,             0.97935,              0.7906,             0.97666,             0.82742,             0.20052,            0.039789,               1e-06,               1e-05
                  17,             0.13621,            0.037482,              0.9793,             0.79163,             0.97664,             0.82744,             0.20045,            0.039703,               1e-06,               1e-05
                  18,             0.13602,            0.037515,             0.97916,             0.79175,             0.97652,             0.82756,             0.20036,            0.039735,               1e-06,               1e-05
                  19,             0.13575,            0.037412,             0.97924,             0.79096,             0.97656,             0.82691,             0.20028,             0.03978,               1e-06,               1e-05
                  20,              0.1366,            0.037273,             0.97941,             0.79146,             0.97674,             0.82768,             0.20012,            0.039714,               1e-06,               1e-05
                  21,             0.13604,            0.037267,             0.97943,             0.79225,             0.97673,             0.82811,             0.19997,            0.039703,               1e-06,               1e-05
                  22,             0.13573,            0.037206,              0.9794,             0.79203,             0.97665,             0.82812,             0.20011,            0.039661,               1e-06,               1e-05
                  23,             0.13567,            0.036951,             0.97952,             0.79242,             0.97674,             0.82824,             0.20001,            0.039648,               1e-07,               1e-06
                  24,             0.13543,             0.03697,             0.97947,             0.79252,             0.97675,             0.82843,             0.19974,             0.03957,               1e-08,               1e-07
                  25,             0.13515,            0.037104,             0.97945,             0.79199,             0.97669,             0.82792,             0.19984,            0.039608,               1e-08,               1e-07
                  26,             0.13527,            0.036986,             0.97947,             0.79212,             0.97671,             0.82798,             0.19986,            0.039596,               1e-08,               1e-08
                  27,             0.13542,            0.037035,             0.97951,             0.79224,             0.97673,             0.82813,             0.19993,            0.039581,               1e-08,               1e-08
                  28,             0.13537,             0.03695,             0.97948,             0.79199,             0.97666,               0.828,             0.19985,            0.039574,               1e-08,               1e-08
                  29,             0.13546,            0.036888,             0.97949,             0.79258,             0.97673,             0.82838,             0.19993,            0.039571,               1e-08,               1e-08
